                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0535,                0.51191,                0.97491,                0.89608,                0.94452,                0.95234,                0.56924,                 1.3975,                0.64595,                   1.07,               0.004951,               0.004951,               0.004951
                     53,                 1.0343,                0.50391,                0.96788,                0.89614,                0.95336,                0.95271,                0.56972,                 1.3999,                0.63255,                 1.0699,               0.004852,               0.004852,               0.004852
                     54,                 1.0311,                0.49619,                0.96533,                0.90119,                 0.9329,                0.95781,                0.57328,                 1.3848,                 0.6323,                 1.0683,               0.004753,               0.004753,               0.004753
                     55,                 1.0281,                0.50057,                0.95968,                0.91448,                0.92634,                 0.9585,                0.58444,                 1.3557,                0.62266,                 1.0554,               0.004654,               0.004654,               0.004654
                     56,                 1.0241,                0.49289,                0.96891,                  0.919,                0.93038,                0.96115,                0.59329,                 1.3468,                0.60973,                 1.0595,               0.004555,               0.004555,               0.004555
                     57,                 1.0152,                0.48755,                0.96196,                0.91415,                 0.9325,                0.95943,                0.58249,                 1.3679,                0.62421,                 1.0639,               0.004456,               0.004456,               0.004456
                     58,                 1.0074,                0.48912,                 0.9597,                0.90029,                0.95239,                0.95895,                0.58928,                 1.3407,                0.61143,                 1.0484,               0.004357,               0.004357,               0.004357
                     59,                 1.0032,                0.48261,                0.95479,                0.90515,                0.94055,                0.95358,                0.56995,                 1.3781,                0.63141,                 1.0656,               0.004258,               0.004258,               0.004258
                     60,                 1.0002,                0.48271,                0.95704,                0.91058,                0.93485,                0.95612,                0.58276,                  1.357,                0.62412,                 1.0617,               0.004159,               0.004159,               0.004159
                     61,                0.99136,                 0.4815,                0.94885,                0.91017,                0.93649,                 0.9591,                0.58494,                 1.3649,                0.61824,                 1.0685,                0.00406,                0.00406,                0.00406
                     62,                0.99957,                0.47947,                 0.9624,                0.90945,                0.93659,                0.95416,                 0.5751,                  1.377,                0.62393,                 1.0623,               0.003961,               0.003961,               0.003961
                     63,                0.97883,                0.47261,                0.95138,                0.90304,                0.93623,                 0.9516,                 0.5808,                 1.3609,                0.61748,                 1.0664,               0.003862,               0.003862,               0.003862
                     64,                0.96699,                0.46766,                0.94659,                0.90533,                0.92829,                 0.9554,                0.58535,                 1.3616,                 0.6292,                  1.078,               0.003763,               0.003763,               0.003763
